,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80
380,0.000e+000,1.347e-006,3.595e-006,7.553e-005,2.701e-005,3.512e-006,1.251e-005,0.000e+000,1.908e-006,6.809e-005,1.810e-005,0.000e+000,1.212e-006,8.156e-007,1.009e-006,4.163e-006,1.321e-005,3.180e-006,1.217e-005,0.000e+000,2.757e-005,0.000e+000,0.000e+000,5.097e-008,0.000e+000,0.000e+000,3.040e-005,0.000e+000,0.000e+000,1.358e-006,1.754e-005,1.872e-005,3.030e-005,0.000e+000,6.905e-007,2.739e-006,0.000e+000,1.063e-005,0.000e+000,1.792e-005,2.628e-005,4.110e-006,3.020e-005,0.000e+000,1.033e-005,1.284e-005,1.567e-005,1.109e-005,5.111e-006,1.229e-005,1.366e-005,7.770e-006,5.695e-006,8.713e-006,1.106e-005,7.658e-006,7.014e-006,4.760e-006,7.509e-006,9.704e-006,1.085e-005,2.803e-006,7.897e-006,1.187e-005,8.359e-006,1.717e-005,8.924e-006,5.571e-006,1.284e-005,1.371e-005,1.757e-005,1.023e-005,8.970e-006,1.614e-005,3.654e-006,4.998e-006,1.180e-005,2.349e-005,3.642e-007,8.134e-006
384,0.000e+000,2.003e-006,3.878e-006,2.438e-005,1.106e-006,4.771e-007,1.646e-005,0.000e+000,7.618e-006,4.603e-006,4.508e-005,0.000e+000,1.039e-006,7.304e-008,5.329e-007,1.992e-008,4.976e-006,3.967e-006,1.804e-005,0.000e+000,3.194e-005,1.705e-006,0.000e+000,3.637e-010,0.000e+000,0.000e+000,3.942e-006,0.000e+000,0.000e+000,2.945e-006,2.253e-006,7.727e-006,1.434e-005,0.000e+000,4.927e-009,1.007e-005,1.319e-005,7.585e-008,9.210e-007,4.349e-007,1.938e-005,1.619e-005,4.149e-005,0.000e+000,1.278e-005,1.263e-005,1.458e-005,9.115e-006,7.437e-006,1.529e-005,1.269e-005,7.623e-006,8.818e-006,6.800e-006,8.963e-006,7.430e-006,5.957e-006,4.696e-006,5.341e-006,1.222e-005,7.110e-006,4.910e-006,6.749e-006,1.176e-005,1.280e-005,1.151e-005,9.967e-006,9.184e-006,6.931e-006,1.172e-005,1.408e-005,1.333e-005,1.617e-005,9.838e-006,3.591e-006,3.791e-006,7.464e-006,2.407e-005,1.440e-008,6.313e-006
388,0.000e+000,1.068e-006,3.455e-006,2.983e-005,1.192e-005,3.353e-006,6.113e-006,0.000e+000,1.696e-005,2.463e-005,2.037e-005,0.000e+000,1.130e-006,4.751e-007,2.184e-007,6.278e-007,5.112e-006,0.000e+000,0.000e+000,0.000e+000,2.691e-005,0.000e+000,0.000e+000,0.000e+000,0.000e+000,0.000e+000,9.818e-006,0.000e+000,0.000e+000,1.068e-006,1.409e-005,6.360e-006,3.049e-005,0.000e+000,9.554e-008,3.423e-006,1.045e-005,4.382e-006,4.939e-006,1.646e-006,1.992e-005,1.696e-005,2.899e-005,0.000e+000,1.635e-005,1.294e-005,1.536e-005,1.168e-005,8.321e-006,1.468e-005,1.359e-005,8.533e-006,5.862e-006,5.830e-006,8.608e-006,5.063e-006,7.302e-006,5.958e-006,7.359e-006,1.085e-005,9.619e-006,4.626e-006,3.436e-006,9.802e-006,1.091e-005,8.306e-006,1.555e-005,1.048e-005,1.240e-005,9.844e-006,1.332e-005,7.812e-006,1.313e-005,1.791e-005,1.881e-006,2.432e-006,8.315e-006,2.448e-005,4.094e-007,8.195e-006
392,0.000e+000,9.342e-007,3.374e-006,2.419e-005,1.817e-005,3.110e-006,1.086e-005,8.449e-007,1.165e-005,5.085e-006,1.571e-005,0.000e+000,1.118e-006,3.619e-007,4.974e-007,1.365e-006,0.000e+000,1.507e-006,0.000e+000,0.000e+000,2.032e-005,0.000e+000,0.000e+000,0.000e+000,0.000e+000,0.000e+000,1.184e-005,5.247e-007,0.000e+000,1.049e-006,1.189e-005,2.614e-006,2.639e-005,0.000e+000,4.763e-007,1.033e-005,1.957e-005,9.528e-006,1.618e-006,0.000e+000,9.385e-006,1.485e-005,2.993e-005,0.000e+000,7.062e-006,1.255e-005,1.596e-005,8.667e-006,7.877e-006,1.346e-005,1.553e-005,1.292e-005,1.055e-005,4.889e-006,7.571e-006,4.711e-006,5.983e-006,4.630e-006,6.213e-006,7.875e-006,9.514e-006,2.695e-006,4.481e-006,7.424e-006,8.804e-006,1.145e-005,7.634e-006,1.314e-005,1.594e-005,5.150e-006,1.455e-005,1.189e-005,1.484e-005,1.502e-005,3.419e-006,4.258e-006,7.695e-006,2.133e-005,8.764e-007,8.798e-006
396,0.000e+000,1.172e-006,3.083e-006,1.624e-005,1.494e-005,1.379e-006,8.378e-006,9.435e-006,1.873e-005,1.100e-005,1.062e-005,0.000e+000,8.225e-007,4.709e-007,4.656e-007,0.000e+000,0.000e+000,4.854e-006,0.000e+000,0.000e+000,2.474e-005,0.000e+000,0.000e+000,0.000e+000,0.000e+000,0.000e+000,7.637e-006,5.924e-007,0.000e+000,1.843e-006,7.220e-006,2.226e-005,1.890e-005,0.000e+000,6.613e-007,3.259e-006,1.214e-005,2.108e-006,8.934e-006,0.000e+000,1.328e-005,1.926e-005,2.435e-005,0.000e+000,6.595e-006,1.111e-005,1.402e-005,1.222e-005,1.061e-005,1.506e-005,1.678e-005,8.332e-006,1.069e-005,4.318e-006,6.768e-006,4.461e-006,4.543e-006,4.000e-006,5.717e-006,5.431e-006,8.713e-006,1.397e-006,6.700e-006,6.536e-006,7.543e-006,1.087e-005,7.515e-006,1.274e-005,1.589e-005,1.365e-005,1.418e-005,1.106e-005,1.412e-005,1.403e-005,2.779e-006,4.770e-006,8.269e-006,2.081e-005,3.072e-007,8.649e-006
400,0.000e+000,1.419e-006,2.734e-006,1.335e-005,1.144e-005,0.000e+000,5.467e-006,5.126e-006,3.209e-005,4.056e-005,8.480e-006,0.000e+000,9.090e-007,2.077e-007,5.799e-007,0.000e+000,0.000e+000,4.867e-006,0.000e+000,0.000e+000,2.278e-005,0.000e+000,0.000e+000,0.000e+000,0.000e+000,2.174e-006,3.183e-006,0.000e+000,0.000e+000,3.979e-007,0.000e+000,1.346e-005,1.594e-005,0.000e+000,6.864e-007,5.672e-006,4.078e-006,1.274e-006,3.292e-005,0.000e+000,4.992e-006,1.583e-005,2.676e-006,0.000e+000,9.553e-006,1.245e-005,1.545e-005,1.441e-005,1.340e-005,1.771e-005,1.519e-005,1.143e-005,6.278e-006,5.341e-006,6.928e-006,5.574e-006,4.218e-006,4.446e-006,5.906e-006,6.543e-006,7.407e-006,2.518e-006,3.894e-006,6.736e-006,7.468e-006,8.385e-006,8.461e-006,9.962e-006,1.362e-005,1.508e-005,1.462e-005,1.292e-005,1.351e-005,1.307e-005,2.451e-006,3.212e-006,9.448e-006,2.193e-005,1.452e-007,7.944e-006
404,0.000e+000,1.676e-006,3.432e-006,2.532e-005,2.066e-005,8.146e-006,2.635e-005,1.550e-005,1.063e-005,2.273e-005,2.106e-005,0.000e+000,7.319e-007,3.492e-007,4.522e-007,0.000e+000,0.000e+000,8.676e-007,0.000e+000,0.000e+000,1.965e-005,0.000e+000,0.000e+000,2.418e-007,0.000e+000,6.367e-007,2.713e-005,0.000e+000,0.000e+000,1.050e-005,7.109e-006,4.227e-006,1.127e-005,0.000e+000,7.815e-007,1.662e-006,6.975e-006,9.337e-006,1.918e-005,8.096e-006,5.749e-007,1.406e-005,1.471e-005,1.750e-006,1.086e-005,1.467e-005,1.789e-005,1.628e-005,1.784e-005,2.062e-005,1.842e-005,1.249e-005,8.273e-006,4.385e-006,6.999e-006,2.924e-006,3.668e-006,4.385e-006,5.445e-006,9.031e-006,1.170e-005,3.390e-006,3.795e-006,6.757e-006,2.667e-005,1.036e-005,8.574e-006,1.313e-005,1.612e-005,1.943e-005,1.799e-005,1.608e-005,1.729e-005,1.753e-005,1.688e-006,2.083e-006,4.862e-006,2.291e-005,4.077e-008,8.065e-006
408,0.000e+000,1.897e-006,4.389e-006,2.105e-005,1.354e-005,1.135e-005,1.583e-005,1.536e-005,4.760e-005,2.486e-005,2.256e-005,0.000e+000,1.004e-006,1.360e-007,7.272e-007,0.000e+000,7.942e-006,0.000e+000,0.000e+000,0.000e+000,2.041e-005,0.000e+000,0.000e+000,2.788e-008,0.000e+000,0.000e+000,6.337e-006,2.565e-007,4.896e-006,1.141e-005,1.641e-005,3.498e-007,1.707e-005,0.000e+000,1.577e-006,0.000e+000,1.910e-005,1.070e-005,1.091e-006,6.701e-007,1.762e-005,1.895e-005,2.745e-005,2.028e-005,1.383e-005,1.925e-005,2.275e-005,2.289e-005,2.406e-005,2.430e-005,2.213e-005,1.629e-005,1.036e-005,5.971e-006,8.195e-006,4.698e-006,3.573e-006,3.954e-006,6.248e-006,9.897e-006,1.363e-005,2.910e-006,5.295e-006,6.545e-006,9.085e-006,8.014e-006,6.398e-006,1.822e-005,2.154e-005,2.493e-005,2.467e-005,1.985e-005,2.231e-005,2.307e-005,1.779e-006,4.139e-006,1.776e-005,3.103e-005,1.641e-007,1.178e-005
412,0.000e+000,3.749e-006,7.171e-006,2.791e-005,2.606e-005,1.137e-005,2.326e-005,2.617e-005,4.254e-005,5.449e-005,3.383e-005,0.000e+000,1.158e-006,8.798e-007,1.294e-006,9.248e-007,5.143e-006,8.777e-007,0.000e+000,0.000e+000,5.493e-006,0.000e+000,0.000e+000,1.418e-007,0.000e+000,0.000e+000,7.598e-006,2.970e-006,0.000e+000,5.499e-007,4.517e-006,0.000e+000,1.785e-005,1.463e-007,2.969e-006,1.513e-006,7.796e-006,1.045e-005,8.509e-006,5.654e-006,1.595e-005,2.953e-005,4.167e-005,3.776e-005,2.337e-005,2.964e-005,3.585e-005,3.960e-005,4.424e-005,3.675e-005,3.526e-005,2.822e-005,1.897e-005,1.099e-005,9.187e-006,6.011e-006,4.410e-006,4.775e-006,9.277e-006,1.551e-005,2.081e-005,3.490e-006,4.707e-006,6.462e-006,6.242e-006,7.834e-006,5.805e-006,2.393e-005,3.798e-005,3.927e-005,3.756e-005,3.717e-005,3.777e-005,3.988e-005,3.137e-006,3.460e-006,3.427e-005,4.520e-005,3.376e-008,2.013e-005
416,0.000e+000,6.850e-006,1.423e-005,2.402e-005,3.833e-005,3.833e-005,4.657e-005,6.364e-005,7.444e-005,7.656e-005,8.431e-005,0.000e+000,2.005e-006,1.583e-006,2.154e-006,2.891e-006,2.744e-006,3.566e-006,0.000e+000,0.000e+000,1.124e-005,0.000e+000,0.000e+000,2.902e-007,0.000e+000,0.000e+000,7.160e-006,0.000e+000,0.000e+000,1.719e-006,5.816e-006,0.000e+000,4.048e-006,4.574e-007,5.882e-006,7.617e-006,1.598e-005,2.659e-005,3.710e-005,3.489e-005,3.635e-005,5.924e-005,7.417e-005,6.128e-005,4.078e-005,5.483e-005,6.513e-005,7.653e-005,7.495e-005,7.244e-005,6.814e-005,5.111e-005,3.522e-005,2.111e-005,1.453e-005,7.068e-006,5.732e-006,7.742e-006,1.639e-005,2.613e-005,3.957e-005,5.274e-006,6.448e-006,8.250e-006,9.852e-006,1.016e-005,9.482e-006,4.228e-005,7.073e-005,7.232e-005,7.241e-005,7.586e-005,7.594e-005,7.486e-005,4.374e-006,4.741e-006,7.032e-005,8.246e-005,2.286e-007,3.984e-005
420,9.082e-008,1.337e-005,2.742e-005,4.759e-005,7.257e-005,7.602e-005,9.185e-005,1.160e-004,1.327e-004,1.447e-004,1.625e-004,6.812e-008,3.025e-006,2.822e-006,3.621e-006,1.244e-006,3.541e-006,3.684e-006,0.000e+000,0.000e+000,1.320e-005,3.674e-006,0.000e+000,5.337e-007,0.000e+000,0.000e+000,1.147e-005,0.000e+000,1.236e-006,1.849e-006,8.751e-006,0.000e+000,1.221e-005,9.082e-008,1.158e-005,1.779e-005,3.797e-005,4.855e-005,6.808e-005,7.712e-005,9.103e-005,1.133e-004,1.383e-004,1.431e-004,7.854e-005,1.076e-004,1.289e-004,1.514e-004,1.529e-004,1.473e-004,1.322e-004,1.000e-004,7.080e-005,4.065e-005,2.449e-005,1.051e-005,7.118e-006,1.365e-005,2.907e-005,4.848e-005,7.881e-005,8.479e-006,9.343e-006,1.282e-005,1.196e-005,1.136e-005,1.697e-005,7.780e-005,1.352e-004,1.476e-004,1.478e-004,1.476e-004,1.492e-004,1.497e-004,7.590e-006,5.101e-006,1.428e-004,1.614e-004,4.300e-007,7.814e-005
424,5.210e-007,2.599e-005,5.300e-005,8.457e-005,1.240e-004,1.494e-004,1.824e-004,2.248e-004,2.524e-004,2.731e-004,3.022e-004,2.988e-007,4.976e-006,4.699e-006,6.384e-006,1.724e-006,1.043e-005,7.049e-006,3.167e-006,0.000e+000,1.927e-005,6.746e-006,4.497e-007,1.044e-006,0.000e+000,0.000e+000,1.117e-005,3.107e-006,9.716e-007,2.341e-006,1.968e-006,0.000e+000,1.246e-005,3.848e-007,2.270e-005,3.996e-005,7.077e-005,9.432e-005,1.338e-004,1.530e-004,1.861e-004,2.187e-004,2.588e-004,2.804e-004,1.520e-004,2.079e-004,2.538e-004,2.991e-004,3.070e-004,2.930e-004,2.498e-004,1.959e-004,1.403e-004,7.832e-005,4.386e-005,1.654e-005,1.127e-005,2.413e-005,5.288e-005,9.210e-005,1.517e-004,1.347e-005,1.562e-005,1.768e-005,1.655e-005,1.458e-005,2.727e-005,1.468e-004,2.714e-004,2.952e-004,2.937e-004,2.889e-004,2.962e-004,2.982e-004,1.284e-005,6.297e-006,2.843e-004,3.142e-004,6.596e-007,1.512e-004
428,1.022e-006,4.872e-005,9.866e-005,1.507e-004,2.147e-004,2.829e-004,3.428e-004,4.021e-004,4.609e-004,5.286e-004,5.843e-004,1.034e-006,7.809e-006,7.689e-006,1.029e-005,1.012e-005,1.766e-005,1.518e-005,1.875e-006,4.830e-006,2.585e-005,1.857e-005,1.053e-006,1.886e-006,0.000e+000,2.855e-006,9.959e-006,6.324e-006,5.092e-006,3.911e-006,5.500e-006,6.541e-006,1.810e-005,8.896e-007,4.299e-005,8.299e-005,1.321e-004,1.822e-004,2.518e-004,2.995e-004,3.472e-004,4.208e-004,4.874e-004,5.471e-004,2.826e-004,3.879e-004,4.781e-004,5.652e-004,5.795e-004,5.565e-004,4.704e-004,3.708e-004,2.648e-004,1.475e-004,7.908e-005,2.838e-005,1.815e-005,4.165e-005,9.540e-005,1.657e-004,2.829e-004,2.273e-005,2.519e-005,2.735e-005,2.648e-005,2.152e-005,4.590e-005,2.742e-004,5.254e-004,5.654e-004,5.596e-004,5.513e-004,5.615e-004,5.731e-004,2.078e-005,1.010e-005,5.421e-004,5.931e-004,1.293e-006,2.838e-004
432,1.966e-006,8.893e-005,1.807e-004,2.734e-004,3.896e-004,5.176e-004,6.294e-004,7.275e-004,8.352e-004,9.842e-004,1.091e-003,2.065e-006,1.247e-005,1.219e-005,1.608e-005,1.280e-005,3.101e-005,2.482e-005,1.736e-005,2.413e-005,3.955e-005,2.928e-005,1.922e-006,3.928e-006,0.000e+000,1.013e-005,1.105e-005,7.863e-006,8.710e-006,7.664e-006,1.267e-005,4.915e-006,2.096e-005,2.007e-006,7.881e-005,1.591e-004,2.404e-004,3.365e-004,4.668e-004,5.569e-004,6.334e-004,7.682e-004,8.939e-004,1.005e-003,5.187e-004,7.128e-004,8.823e-004,1.045e-003,1.075e-003,1.032e-003,8.701e-004,6.830e-004,4.907e-004,2.732e-004,1.441e-004,5.025e-005,3.024e-005,7.244e-005,1.703e-004,3.049e-004,5.189e-004,3.445e-005,4.010e-005,4.587e-005,4.155e-005,2.999e-005,8.390e-005,5.053e-004,9.726e-004,1.055e-003,1.044e-003,1.026e-003,1.043e-003,1.051e-003,3.327e-005,1.715e-005,1.016e-003,1.100e-003,2.553e-006,5.194e-004
436,3.587e-006,1.522e-004,3.103e-004,4.634e-004,6.677e-004,8.913e-004,1.077e-003,1.268e-003,1.453e-003,1.706e-003,1.913e-003,3.356e-006,1.804e-005,1.803e-005,2.349e-005,2.399e-005,4.134e-005,4.134e-005,3.503e-005,3.939e-005,5.699e-005,4.612e-005,3.736e-006,6.732e-006,3.059e-007,1.181e-005,2.339e-005,2.075e-005,2.673e-005,2.489e-005,2.401e-005,1.974e-005,1.822e-005,3.665e-006,1.361e-004,2.851e-004,4.105e-004,5.872e-004,8.084e-004,9.818e-004,1.130e-003,1.323e-003,1.559e-003,1.769e-003,8.938e-004,1.230e-003,1.535e-003,1.823e-003,1.874e-003,1.805e-003,1.516e-003,1.195e-003,8.549e-004,4.747e-004,2.490e-004,8.515e-005,4.937e-005,1.191e-004,2.874e-004,5.205e-004,8.950e-004,5.059e-005,6.350e-005,7.293e-005,7.222e-005,5.510e-005,1.462e-004,8.788e-004,1.708e-003,1.852e-003,1.831e-003,1.794e-003,1.820e-003,1.830e-003,4.931e-005,3.176e-005,1.777e-003,1.919e-003,3.961e-006,8.979e-004
440,5.297e-006,2.140e-004,4.364e-004,6.545e-004,9.342e-004,1.257e-003,1.535e-003,1.786e-003,2.057e-003,2.412e-003,2.707e-003,4.957e-006,2.206e-005,2.242e-005,2.894e-005,3.335e-005,4.887e-005,5.055e-005,4.251e-005,5.213e-005,6.048e-005,5.755e-005,5.305e-006,9.763e-006,3.901e-006,1.997e-005,2.810e-005,2.968e-005,3.633e-005,3.889e-005,3.689e-005,3.881e-005,5.329e-005,5.273e-006,1.918e-004,3.890e-004,5.853e-004,8.341e-004,1.126e-003,1.382e-003,1.585e-003,1.865e-003,2.209e-003,2.515e-003,1.256e-003,1.737e-003,2.173e-003,2.589e-003,2.663e-003,2.565e-003,2.151e-003,1.695e-003,1.213e-003,6.734e-004,3.546e-004,1.218e-004,6.732e-005,1.643e-004,3.998e-004,7.277e-004,1.261e-003,6.079e-005,8.272e-005,9.923e-005,9.748e-005,7.618e-005,2.127e-004,1.247e-003,2.432e-003,2.640e-003,2.609e-003,2.553e-003,2.577e-003,2.596e-003,5.982e-005,4.934e-005,2.530e-003,2.730e-003,5.194e-006,1.265e-003
444,6.363e-006,2.558e-004,5.228e-004,7.865e-004,1.124e-003,1.511e-003,1.846e-003,2.147e-003,2.488e-003,2.910e-003,3.301e-003,6.209e-006,2.361e-005,2.385e-005,3.065e-005,3.673e-005,4.764e-005,5.171e-005,4.558e-005,6.325e-005,5.966e-005,5.908e-005,6.336e-006,1.212e-005,1.111e-005,2.366e-005,3.778e-005,4.246e-005,4.084e-005,5.188e-005,5.805e-005,5.512e-005,7.338e-005,6.286e-006,2.302e-004,4.678e-004,6.972e-004,1.002e-003,1.364e-003,1.675e-003,1.918e-003,2.260e-003,2.667e-003,3.057e-003,1.508e-003,2.092e-003,2.622e-003,3.137e-003,3.232e-003,3.111e-003,2.602e-003,2.048e-003,1.464e-003,8.135e-004,4.270e-004,1.453e-004,7.813e-005,1.924e-004,4.744e-004,8.684e-004,1.515e-003,6.463e-005,9.265e-005,1.135e-004,1.122e-004,9.204e-005,2.597e-004,1.506e-003,2.955e-003,3.210e-003,3.170e-003,3.094e-003,3.126e-003,3.141e-003,6.329e-005,6.378e-005,3.070e-003,3.312e-003,6.401e-006,1.520e-003
448,6.604e-006,2.645e-004,5.417e-004,8.108e-004,1.165e-003,1.569e-003,1.925e-003,2.244e-003,2.605e-003,3.054e-003,3.469e-003,6.394e-006,2.223e-005,2.263e-005,2.856e-005,3.454e-005,4.286e-005,4.395e-005,4.111e-005,5.949e-005,4.924e-005,5.891e-005,6.683e-006,1.269e-005,1.432e-005,2.396e-005,3.655e-005,4.818e-005,4.911e-005,5.532e-005,6.215e-005,5.757e-005,6.939e-005,6.515e-006,2.391e-004,4.884e-004,7.273e-004,1.042e-003,1.433e-003,1.729e-003,2.010e-003,2.370e-003,2.808e-003,3.216e-003,1.567e-003,2.182e-003,2.742e-003,3.292e-003,3.393e-003,3.267e-003,2.727e-003,2.143e-003,1.529e-003,8.489e-004,4.436e-004,1.486e-004,7.739e-005,1.951e-004,4.866e-004,8.979e-004,1.576e-003,6.085e-005,8.951e-005,1.129e-004,1.121e-004,9.343e-005,2.716e-004,1.573e-003,3.105e-003,3.377e-003,3.333e-003,3.251e-003,3.280e-003,3.295e-003,5.969e-005,6.855e-005,3.229e-003,3.479e-003,6.576e-006,1.581e-003
452,5.985e-006,2.372e-004,4.862e-004,7.242e-004,1.048e-003,1.414e-003,1.740e-003,2.027e-003,2.357e-003,2.769e-003,3.142e-003,5.598e-006,1.808e-005,1.838e-005,2.329e-005,2.614e-005,3.586e-005,3.185e-005,3.053e-005,5.105e-005,3.461e-005,4.648e-005,6.063e-006,1.157e-005,1.091e-005,1.800e-005,2.705e-005,4.554e-005,4.520e-005,5.059e-005,5.451e-005,4.990e-005,6.328e-005,5.847e-006,2.152e-004,4.415e-004,6.532e-004,9.418e-004,1.292e-003,1.568e-003,1.813e-003,2.148e-003,2.542e-003,2.925e-003,1.410e-003,1.972e-003,2.481e-003,2.986e-003,3.081e-003,2.966e-003,2.472e-003,1.941e-003,1.383e-003,7.668e-004,4.011e-004,1.343e-004,6.887e-005,1.728e-004,4.346e-004,8.054e-004,1.420e-003,4.945e-005,7.651e-005,9.972e-005,1.000e-004,8.433e-005,2.471e-004,1.424e-003,2.821e-003,3.071e-003,3.029e-003,2.951e-003,2.974e-003,2.987e-003,4.855e-005,6.571e-005,2.930e-003,3.159e-003,5.634e-006,1.424e-003
